thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdib|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|kdjnsban|kdctarik|register|carahitung|ket|ket2
2026|01|325237|015|08|WA|4715|EBB|00|32|52|2|004|100|RB|533121|009|A|0|0| |0|Renovasi 1 Unit Rumah Negara Tipe D Seluas 50 M2|
2026|01|527137|015|08|WA|4715|EBB|00|02|52|2|004|100|GB|533121|023|A|0|0| |0|Renovasi Atap 1 Unit Gedung Kantor, Penataan Layout untuk Assement Centre 1 Unit Gedung Kantor Seluas 1476 M2|
2026|01|527010|015|08|CD|6212|AEF|00|01|51|1|001|100|JD|524114|019|A|0|0| |0|Penyusunan LKPP Audited Tahun 2025|
2026|01|527010|015|08|WA|4715|EBB|00|01|51|1|004|100|GB|533121|019|A|0|0| |0|Renovasi Gedung Kantor seluas 1.640 m2|
2026|01|527010|015|08|WA|4715|EBB|00|01|51|1|004|100|RB|533121|019|A|0|0| |0|Renovasi Rumah Dinas Golongan II Tipe D seluas 519 m2|
2026|01|527183|015|08|WA|4715|EBB|00|02|09|2|004|100|RB|533121|086|A|0|0| |0|Renovasi Rumah Dinas seluas 50m2|
2026|01|527268|015|08|WA|4715|EBB|00|03|51|2|004|100|RA|533111|026|A|0|0| |0|Pekerjaan Fisik Rumah Negara Jl Erlangga Tipe C (2 Unit) dan Tipe D (4 Unit) seluas 480m2|
2026|01|527411|015|08|WA|4715|EBB|00|05|51|2|004|100|RB|533121|031|A|0|0| |0|Rehabilitasi Rumah Negara Gol II seluas 104 m2|
2026|01|527488|015|08|WA|4715|EBB|00|05|27|2|004|100|GB|533121|073|A|0|0| |0|Renovasi 1 Unit Gedung Kantor (Atap) seluas 1022 m2|
2026|01|527488|015|08|WA|4715|EBB|00|05|27|2|004|100|RB|533121|073|A|0|0| |0|Renovasi Rumah Dinas Golongan 1 Unit Tipe C Permanen seluas 131.75 m2|
2026|01|527521|015|08|WA|4715|EBB|00|05|12|2|004|100|GB|533121|131|A|0|0| |0|Renovasi Layout Kantor Seluas 335 M2|
2026|01|527581|015|08|WA|4715|EBB|00|06|53|2|004|100|RB|533121|002|A|0|0| |0|Renovasi Rumah Negara Golongan I Tipe C Sejumlah 1 Unit (70 m2), Rumah Negara Golongan II Tipe D Sejumlah 4 Unit (200 m2), dan Renovasi Rumah Negara Golongan II Tipe C Sejumlah 1 Unit (70 m2)|
2026|01|527581|015|08|WA|4715|EBB|00|06|53|2|002|100| A|532111|002|A|0|0| |0|Pembelian Peralatan dan Mesin untuk Kantor dan Rumah Dinas Sebanyak 13 Unit|
2026|01|527624|015|08|WA|4715|EBB|00|06|07|2|004|100|GB|533121|122|A|0|0| |0|Renovasi 1 unit Gedung Kantor seluas 1.224 m2|
2026|01|527776|015|08|WA|4715|EBB|00|08|55|2|004|100|RB|533121|010|A|0|0| |0|Renovasi Rumah Dinas Gol. II Jl. Raya Nanggalo Gg Ikhlas No. 10 seluas 50 M2|Pembuatan Sumur Bor 3 Paket
2026|01|528057|015|08|WA|4715|EBB|00|13|51|2|004|100|RB|533121|042|A|0|0| |0|Penambahan Nilai Gedung dan Bangunan|
2026|01|528099|015|08|WA|4715|EBB|00|13|52|2|004|100|RB|533121|093|A|0|0| |0|Renov rumah dinas seluas 72 M2|
2026|01|528544|015|08|WA|4715|EBB|00|22|51|2|004|100|RB|533121|037|A|0|0| |0|Renovasi 3 Unit Rumah Dinas Seluas 136 M2|
2026|01|528590|015|08|WA|4715|EBA|00|23|52|2|994|002| F|521115|071|A|0|0| |0|Tunggakan Honor Desember 2025, berupa Honor Keuangan, Honor TKD, Honor SAI, Honor Pengelola BMN, dan Honor PBJ|
2026|01|528629|015|08|WA|4715|EBB|00|24|51|2|004|100|GL|533111|039|A|0|0| |0|Pembangunan 1 Unit Townhouse seluas 350 m2|
2026|01|528722|015|08|WA|4715|EBB|00|33|51|2|004|100|GL|533121|066|A|0|0| |0|Renovasi Pagar, Saluran Dan Pembuatan Filtrasi Air Bersih Hunian Pegawai Seluas 146 M2|
2026|01|539032|015|08|WA|4715|EBB|00|32|51|2|002|100| A|532111|137|A|0|0| |0|Pengadaan Lemari Pegawai untuk Eco Office|Dengan total harga Rp3.220.000
2026|01|613792|015|08|WA|4715|EBB|00|20|51|2|004|100| A|533121|060|A|0|0| |0|Belanja Penambahan Nilai Gedung dan Bangunan Rehabilitasi Rumah Dinas 98 m2|
2026|01|634277|015|08|WA|4715|EBB|41|04|51|2|004|100|GB|533121|030|A|0|0| |0|Renovasi Toilet Kamar Mandi Gedung Kanwil Ditjen Perbendaharaan Prov. D.I. Yogyakarta  81 m2|
2026|01|662787|015|08|WA|4715|EBB|00|28|51|2|004|100|RB|533121|062|A|0|0| |0|Renovasi Rumah Dinas 1 Unit seluas 128m2|
