thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|header1|header2|kdheader|noitem|nmitem|vol1|sat1|vol2|sat2|vol3|sat3|vol4|sat4|volkeg|satkeg|hargasat|jumlah|rphblokir
2026|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| A|521211|019|A||||1|KDM  Snack Rapat Pelaksanaan Customer Service dan Helpdesk|0||0||0||0||264.0|OH|19625|5181000|0
2026|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| A|521211|019|A||||2|KDM  Makan Rapat Pelaksanaan Customer Service dan Helpdesk|0||0||0||0||264.0|OH|41800|11035000|0
2026|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| B|521211|019|A||||1|KDM  Snack Panitia Sosialisasi|1|KEG|75|ORG|0||0||75.0|OK|19600|1470000|0
2026|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| B|521211|019|A||||2|KDM  Makan Panitia Sosialisasi|1|KEG|75|ORG|0||0||75.0|OK|41800|3135000|0
2026|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| A|521211|019|A||||1|KDM  Konsumsi Makan Kegiatan Penelusuran Selisih Saldo|30|ORG|2|KEG|0||0||60.0|OK|55850|3351000|0
2026|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| A|521211|019|A||||2|KDM  Konsumsi Snack Kegiatan Penelusuran Selisih Saldo|30|ORG|2|KEG|0||0||60.0|OK|24000|1440000|0
2026|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| A|524113|019|A||||1|Uang Harian Perjalanan Dinas Dalam Kota Lebih dari 8 Jam (D.K.I.  Jakarta)|5|KEG|6|ORG|0||0||30.0|OH|133340|4000000|0
2026|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| B|521211|019|A||||1|KDM  Snack Rapat Pengembangan dan Pemeliharaan Sistem Informasi Penerimaan Negara|0||0||0||0||40.0|OH|3925|157000|0
2026|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| B|521211|019|A||||2|KDM  Makan Rapat Pengembangan dan Pemeliharaan Sistem Informasi Penerimaan Negara|0||0||0||0||40.0|OH|8375|335000|0
2026|01|015116|015|08|CD|6215|FAH|01|51|2|003|100| A|521211|019|A||||1|KDM  Snack Rapat Penyusunan Laporan Keuangan|0||0||0||0||40.0|OH|3925|157000|0
2026|01|015116|015|08|CD|6215|FAH|01|51|2|003|100| A|521211|019|A||||2|KDM  Makan Rapat Penyusunan Laporan Keuangan|0||0||0||0||40.0|OH|8375|335000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|001|100| A|521811|019|A||||1|ATK  ATK dan Supplies Komputer|0||0||0||0||1.0|THN|12586000|12586000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A||||1|Kertas BerhargaMaterai|0||0||0||0||1.0|THN|1056000|1056000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A|02|||10|Honor Pramubhakti|4|ORG|13|BLN|0||0||52.0|OB|4857640|252597000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A||||2|Keperluan seharihari perkantoran|0||0||0||0||1.0|THN|60440000|60440000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A|01||1|3|Penyelenggaraan Rapat|0||0||0||0||0.0||0|0|0
