thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|header1|header2|kdheader|noitem|nmitem|vol1|sat1|vol2|sat2|vol3|sat3|vol4|sat4|volkeg|satkeg|hargasat|jumlah|rphblokir
2026|01|015117|015|08|CD|6212|AEF|01|51|2|I01|100| A|521211|019|A|01||1|1|Sosialisasi Survey hasil pelaksanaan reformasi birokrasi dan Koordinasi Penyaluran Dana|0||0.0||0.0||0||0.0||0|0|0
2026|01|015117|015|08|CD|6212|AEF|01|51|2|I01|100| A|521211|019|A|01|||2|KDM  Snack|25|ORG|2.0|KEG|0.0||0||50.0|OK|16600|830000|0
2026|01|015117|015|08|CD|6212|AEF|01|51|2|I01|100| A|521211|019|A|01|||3|KDM  Makan|25|ORG|2.0|KEG|0.0||0||50.0|OK|44120|2206000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|001|100| A|521811|019|A||||1|ATK  Alat Tulis Kantor, Supplies Komputer dan Barang Persediaan Konsumsi|1|PKT|1.0|KEG|12.0|BLN|0||12.0|BULAN|1600000|19200000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|002|100| A|524113|019|A||||1|Biaya transport lokal dalam kota Pimpinan|1|ORG|1.0|KEG|10.0|BLN|0||10.0|OK|73100|731000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A||||1|Biaya Keperluan Seharihari Perkantoran|0||0.0||0.0||0||1.0|TAHUN|59980000|59980000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A||||2|Biaya Operasional Rekening SatkerKKP|0||0.0||0.0||0||12.0|BULAN|100000|1200000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A||||3|Honor PPNPN Sopir|1|ORG|12.0|BLN|0.0||0||12.0|OB|5000000|60000000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A||||4|Honor PPNPN Pramubakti|2|ORG|12.0|BLN|0.0||0||24.0|OB|5000000|120000000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A||||5|THR Keagamaan PPNPN Sopir|1|ORG|1.0|BLN|0.0||0||1.0|OB|5000000|5000000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A||||6|THR Keagamaan PPNPN Pramubakti|2|ORG|1.0|BLN|0.0||0||2.0|OB|5000000|10000000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A||||7|Uang Lembur PPNPN|2|ORG|60.0|HARI|2.0|JAM|0||240.0|OJ|12000|2880000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A||||8|Uang Makan Lembur PPNPN|2|ORG|60.0|HARI|0.0||0||120.0|OH|29000|3480000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| A|521119|019|A||||1|CTK  DokumentasiPencetakanPenggandaanLaminasi|1|THN|0.0||0.0||0||1.0|TAHUN|10897000|10897000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| B|521114|019|A||||1|Biaya Pengiriman Surat Dinas dan Dokumen Kantor|12|BLN|1.0|KEG|0.0||0||12.0|BULAN|279085|3349000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521113|019|A||||1|Penambah Daya Tahan Tubuh|21|PEG|15.0|HR|0.0||0||315.0|OH|18000|5670000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|01||1|1|Honor Pengelola Keuangan|0||0.0||0.0||0||0.0||0|0|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|01|||2|Kuasa Pengguna Anggaran|1|ORG|12.0|BLN|0.0||0||12.0|OB|1180000|14160000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|01|||3|Pejabat Pembuat Komitmen|1|ORG|12.0|BLN|0.0||0||12.0|OB|1150000|13800000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|01|||4|Pejabat Penandatangan SPM|1|ORG|12.0|BLN|0.0||0||12.0|OB|470000|5640000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|01|||5|Bendahara Pengeluaran|1|ORG|12.0|BLN|0.0||0||12.0|OB|410000|4920000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|01|||6|Staf Pengelola Keuangan|2|ORG|12.0|BLN|0.0||0||24.0|OB|300000|7200000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|02||1|7|Honor Tim SAI|0||0.0||0.0||0||0.0||0|0|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|02|||8|Penanggung Jawab Pengelola Sistem Akuntansi dan Pelaporan Keuangan Instansi (SAI) Tingkat UAKPA|1|ORG|12.0|BLN|0.0||0||12.0|OB|200000|2400000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|02|||9|Koordinator Pengelola Sistem Akuntansi dan Pelaporan Keuangan Instansi (SAI) Tingkat UAKPA|1|ORG|12.0|BLN|0.0||0||12.0|OB|200000|2400000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|02|||10|Ketua Pengelola Sistem Akuntansi dan Pelaporan Keuangan Instansi (SAI) Tingkat UAKPA|1|ORG|12.0|BLN|0.0||0||12.0|OB|150000|1800000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|02|||11|Anggota Pengelola Sistem Akuntansi dan Pelaporan Keuangan Instansi (SAI) Tingkat UAKPA|1|ORG|12.0|BLN|0.0||0||12.0|OB|150000|1800000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|03||1|12|Honor Output Kegiatan|0||0.0||0.0||0||0.0||0|0|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|03|||13|Pejabat Pengadaan Barang dan Jasa|1|ORG|12.0|BLN|0.0||0||12.0|OB|680000|8160000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|03|||14|Petugas Penyimpan dan Pengurus BMN|1|ORG|12.0|BLN|0.0||0||12.0|OB|180000|2160000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521119|019|A|01||1|1|Pengadaan Seragam|0||0.0||0.0||0||0.0||0|0|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521119|019|A|01|||2|Pengadaan Seragam Pegawai|21|ORG|2.0|PKT|1.0|THN|0||42.0|OT|817286|34326000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| C|521119|019|A|01|||3|Pengadaan Seragam PPNPN|3|ORG|1.0|PKT|1.0|THN|0||3.0|OT|653667|1961000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| D|523121|019|A||||1|Kendaraan Dinas Roda Empat|2|UNIT|1.0|THN|0.0||0||2.0|UNIT|33537000|67074000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002| D|523121|019|A||||2|Kendaraan Dinas Roda Dua|2|UNIT|1.0|THN|0.0||0||2.0|UNIT|3833000|7666000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002|TJ|523121|019|A||||1|Printer|3|UNIT|1.0|THN|0.0||0||3.0|UNIT|239667|719000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002|TJ|523121|019|A||||2|Scanner|4|UNIT|1.0|THN|0.0||0||4.0|UNIT|239500|958000|0
2026|01|015117|015|08|WA|4715|EBA|01|51|2|994|002|TJ|523121|019|A||||3|P.C. Unit dan LaptopNotebook|17|UNIT|1.0|THN|0.0||0||17.0|UNIT|287471|4887000|0
2026|01|015117|015|08|WA|4715|EBD|01|51|2|974|100| A|521211|019|A||||1|CTK  Biaya Kearsipan|1|KEG|12.0|BLN|0.0||0||12.0|BULAN|213334|2560000|0
2026|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|511129|019|A||||1|Uang Makan PNS Gol. II|7|ORG|21.0|HARI|12.0|BLN|0||1764.0|OH|35000|61740000|0
2026|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|511129|019|A||||2|Uang Makan PNS Gol. III|7|ORG|21.0|HARI|12.0|BLN|0||1764.0|OH|37000|65268000|0
2026|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|511129|019|A||||3|Uang Makan PNS Gol. IV|4|ORG|21.0|HARI|12.0|BLN|0||1008.0|OH|41000|41328000|0
2026|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|512211|019|A||||1|Uang Lembur PNS Gol. II|7|ORG|2.0|JAM|45.0|HARI|0||630.0|OJ|21656|13643000|0
2026|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|512211|019|A||||2|Uang Lembur PNS Gol. III|7|ORG|2.0|JAM|45.0|HARI|0||630.0|OJ|27069|17053000|0
2026|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|512211|019|A||||3|Uang Lembur PNS Gol. IV|4|ORG|2.0|JAM|45.0|HARI|0||360.0|OJ|32484|11694000|0
2026|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|512211|019|A||||4|Uang Makan Lembur PNS Gol. II|7|ORG|45.0|HARI|0.0||0||315.0|OH|31581|9948000|0
2026|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|512211|019|A||||5|Uang Makan Lembur PNS Gol. III|7|ORG|45.0|HARI|0.0||0||315.0|OH|33385|10516000|0
2026|01|015117|015|08|WA|4719|EBA|01|51|2|994|001| A|512211|019|A||||6|Uang Makan Lembur PNS Gol. IV|4|ORG|45.0|HARI|0.0||0||180.0|OH|36995|6659000|0
2026|01|015117|015|08|WA|4719|EBC|01|51|2|001|100|XC|521211|019|A|01||1|1|In House Training|0||0.0||0.0||0||0.0||0|0|0
2026|01|015117|015|08|WA|4719|EBC|01|51|2|001|100|XC|521211|019|A|01|||2|KDM  Konsumsi (Snack)|26|ORG|1.0|FREK|1.0|KEG|0||26.0|OK|18270|475000|0
2026|01|015117|015|08|WA|4719|EBC|01|51|2|001|100|XC|521211|019|A|01|||3|KDM  Konsumsi (Makan)|26|ORG|1.0|FREK|1.0|KEG|0||26.0|OK|44808|1165000|0
2026|01|015117|015|08|WA|4719|EBC|01|51|2|001|100|XC|522151|019|A|01||1|1|Capacity Building SDMService Excellent|0||0.0||0.0||0||0.0||0|0|0
2026|01|015117|015|08|WA|4719|EBC|01|51|2|001|100|XC|522151|019|A|01|||2|Narasumber|1|ORG|2.0|JAM|1.0|FREK|0||2.0|OJ|428500|857000|0
2026|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| A|521211|019|A||||1|KDM  Snack Rapat Pelaksanaan Customer Service dan Helpdesk|0||0.0||0.0||0||264.0|OH|19625|5181000|0
2026|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| A|521211|019|A||||2|KDM  Makan Rapat Pelaksanaan Customer Service dan Helpdesk|0||0.0||0.0||0||264.0|OH|41800|11035000|0
2026|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| B|521211|019|A||||1|KDM  Snack Panitia Sosialisasi|1|KEG|75.0|ORG|0.0||0||75.0|OK|19600|1470000|0
2026|01|015116|015|08|CD|6212|FAL|01|51|2|002|100| B|521211|019|A||||2|KDM  Makan Panitia Sosialisasi|1|KEG|75.0|ORG|0.0||0||75.0|OK|41800|3135000|0
2026|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| A|521211|019|A||||1|KDM  Konsumsi Makan Kegiatan Penelusuran Selisih Saldo|62|ORG|4.0|KEG|0.0||0||248.0|OK|31174|7731000|0
2026|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| A|521211|019|A||||2|KDM  Konsumsi Snack Kegiatan Penelusuran Selisih Saldo|62|ORG|4.0|KEG|0.0||0||248.0|OK|4275|1060000|0
2026|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| B|521211|019|A||||1|KDM  Snack Rapat Pengembangan dan Pemeliharaan Sistem Informasi Penerimaan Negara|0||0.0||0.0||0||40.0|OH|3925|157000|0
2026|01|015116|015|08|CD|6214|FAL|01|51|2|001|100| B|521211|019|A||||2|KDM  Makan Rapat Pengembangan dan Pemeliharaan Sistem Informasi Penerimaan Negara|0||0.0||0.0||0||40.0|OH|8375|335000|0
2026|01|015116|015|08|CD|6215|FAH|01|51|2|003|100| A|521211|019|A||||1|KDM  Snack Rapat Penyusunan Laporan Keuangan|0||0.0||0.0||0||40.0|OH|3925|157000|0
2026|01|015116|015|08|CD|6215|FAH|01|51|2|003|100| A|521211|019|A||||2|KDM  Makan Rapat Penyusunan Laporan Keuangan|0||0.0||0.0||0||40.0|OH|8375|335000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|001|100| A|521811|019|A||||1|ATK  ATK dan Supplies Komputer|0||0.0||0.0||0||1.0|THN|12586000|12586000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|002|100| A|524113|019|A||||1|Transport Lokal|0||0.0||0.0||0||24.0|OK|117585|2822000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A||||1|Kertas BerhargaMaterai|0||0.0||0.0||0||1.0|THN|1056000|1056000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A||||2|Keperluan seharihari perkantoran|0||0.0||0.0||0||1.0|THN|60440000|60440000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A|01||1|3|Penyelenggaraan Rapat|0||0.0||0.0||0||0.0||0|0|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A|02||1|4|Honor PPNPN|0||0.0||0.0||0||0.0||0|0|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A|02|||5|Uang Makan Lembur Sopir|1|ORG|100.0|HARI|0.0||0||100.0|OH|29340|2934000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A|02|||6|Honor Sopir|1|ORG|13.0|BLN|0.0||0||13.0|OB|6294000|81822000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A|02|||7|Uang Lembur Pramubhakti|4|ORG|2.0|JAM|80.0|HR|0||640.0|OJ|12714|8136000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A|02|||8|Uang Lembur Sopir|1|ORG|2.0|JAM|100.0|HR|0||200.0|OJ|12714|2542000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A|02|||9|Uang Makan Lembur Pramubhakti|4|ORG|80.0|HARI|0.0||0||320.0|OH|29340|9388000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521111|019|A|02|||10|Honor Pramubhakti|4|ORG|13.0|BLN|0.0||0||52.0|OB|4857640|252597000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521119|019|A||||1|Peningkatan Kebugaran|1|ORG|12.0|BLN|0.0||0||12.0|OB|222000|2664000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521119|019|A||||2|DokumentasiPencetakanPenggandaanLaminasi|0||0.0||0.0||0||1.0|THN|3552000|3552000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| A|521811|019|A||||1|Obatobatan|0||0.0||0.0||0||22.0|OT|176046|3873000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| B|521114|019|A||||1|Pos Pengepakan Pengiriman Pengangkutan|0||0.0||0.0||0||1.0|THN|674000|674000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521113|019|A||||1|Penambah Daya Tahan Tubuh Akhir Tahun Anggaran|20|PEG|15.0|HR|0.0||0||300.0|OH|9120|2736000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|01||1|1|Honor Output Kegiatan|0||0.0||0.0||0||0.0||0|0|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|01|||2|Honor PengurusPenyimpan BMN|0||0.0||0.0||0||12.0|OB|180000|2160000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|01|||3|Honor Pejabat Pengadaan BarangJasa|0||0.0||0.0||0||12.0|OB|680000|8160000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|02||1|4|Honor Tim SAI (UAKPA BUN Transaksi Khusus Suspen Penerimaan)|0||0.0||0.0||0||0.0||0|0|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|02|||5|Penanggung Jawab|0||0.0||0.0||0||12.0|OB|200000|2400000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|02|||6|Koordinator|0||0.0||0.0||0||12.0|OB|200000|2400000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|02|||7|KetuaWakil Ketua|0||0.0||0.0||0||12.0|OB|150000|1800000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|02|||8|AnggotaPetugas|0||0.0||0.0||0||12.0|OB|150000|1800000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|03||1|9|Honor Tim SAI|0||0.0||0.0||0||0.0||0|0|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|03|||10|Penanggung Jawab|0||0.0||0.0||0||12.0|OB|200000|2400000|0
2026|01|015116|015|08|WA|4715|EBA|01|51|2|994|002| C|521115|019|A|03|||11|Koordinator|0||0.0||0.0||0||12.0|OB|200000|2400000|0
